933 880
37 797 -613
843 801 -194
677 414 -481
492 872 351
230 260 -498
44 356 -547
55 599 -584
824 429 -113
629 362 -310
307 433 -814
1 911 744
705 306 712
262 177 77
129 90 582
837 97 -104
395 368 -470
815 94 602
887 252 231
77 277 -825
738 491 869
347 129 -792
820 679 -983
221 92 962
692 306 18
308 23 -852
15 484 268
255 770 364
692 438 921
324 810 326
696 207 -569
39 464 45
166 567 203
305 645 576
371 233 -571
186 446 327
591 516 350
199 481 -873
138 372 -976
842 828 915
686 244 -252
823 410 -494
25 574 -718
405 580 286
532 624 -167
182 545 997
874 38 -951
278 95 612
532 89 827
921 389 -549
329 214 -47
782 783 544
279 158 744
611 458 -789
692 332 60
788 366 -407
456 667 758
919 454 -391
903 298 782
587 685 -356
7 757 954
443 812 390
278 833 915
471 716 -395
13 811 -99
388 512 -440
104 157 -731
96 73 -877
514 467 516
534 461 117
581 194 224
601 680 -364
770 131 -683
620 402 761
193 160 849
542 862 -867
586 377 533
105 277 812
561 597 547
341 459 -73
304 767 730
778 833 -27
694 308 769
95 861 38
811 804 385
205 854 14
155 853 422
273 232 943
4 392 -199
627 3 -773
811 40 805
241 723 -629
880 448 916
513 379 -971
227 671 293
890 422 610
706 384 589
213 371 61
26 422 734
472 471 89
177 901 416
393 450 -535
609 423 59
316 566 583
275 799 -280
192 905 -806
23 709 86
601 96 -86
688 721 791
555 800 78
650 605 14
433 611 -667
384 605 803
868 41 562
77 897 412
67 909 20
769 484 -56
34 849 963
280 195 512
149 755 970
181 779 -165
752 890 646
448 664 219
782 446 874
253 66 -298
97 158 389
191 169 -540
509 621 -155
303 440 999
75 278 -754
113 338 38
876 449 473
467 85 -14
691 320 34
853 53 438
432 611 -209
684 515 -433
307 783 -539
316 272 -650
416 553 -590
629 925 -903
574 521 -172
100 634 674
362 824 81
884 549 -918
357 480 240
849 624 552
525 661 -460
117 655 178
485 202 -129
869 66 -583
165 592 482
400 458 586
147 737 -74
619 175 309
501 898 787
571 239 -39
141 529 48
712 134 -287
713 403 852
734 688 803
704 441 -425
230 636 795
764 151 -213
511 575 60
323 749 9
223 300 -277
562 175 -614
271 584 675
720 572 -226
338 768 809
799 224 63
720 201 -494
683 704 -926
907 755 -39
422 475 -377
693 51 589
386 282 230
784 876 -176
655 520 182
795 617 -298
651 102 510
880 74 916
155 643 346
468 729 733
212 600 230
381 235 -966
456 26 -947
684 805 -903
365 575 293
168 560 969
56 849 747
425 313 667
681 749 532
61 179 972
82 880 -344
737 705 -107
376 176 -762
558 513 -678
307 498 -35
498 800 539
814 524 208
582 714 882
85 435 -591
39 150 683
170 375 -659
358 753 270
525 164 232
587 687 -932
437 637 953
558 783 -85
172 91 584
625 70 -512
473 634 -302
734 348 -695
359 263 -181
606 246 -286
330 379 918
158 781 435
921 625 -139
195 169 965
931 259 -483
95 139 951
619 512 89
48 432 -348
406 777 447
311 51 73
740 721 -931
577 907 897
394 617 843
790 294 -920
593 208 -862
726 312 -850
434 756 639
644 910 372
409 615 995
631 616 -517
640 693 -640
115 719 -478
711 697 -280
790 636 -233
462 521 595
455 696 -989
290 401 -512
566 801 -698
750 591 -753
341 758 705
719 872 -301
515 560 333
570 828 221
315 494 470
417 769 896
623 695 -762
191 897 -778
94 927 99
150 67 654
118 408 677
713 923 892
453 481 562
880 623 904
552 576 108
796 575 -765
568 552 -241
439 457 394
403 399 817
73 662 43
389 421 300
346 117 134
340 873 -473
799 338 -426
829 761 843
495 329 815
565 203 276
765 788 -564
16 931 -738
930 607 703
67 114 -937
796 119 -580
313 904 325
791 107 504
4 200 -53
37 449 114
502 783 -422
836 876 -940
469 85 121
8 426 317
33 257 -974
770 263 -673
441 589 -829
496 879 275
715 523 -339
834 12 274
651 841 868
897 889 -397
689 9 -383
414 367 187
544 823 114
859 119 -633
500 483 -872
59 427 535
826 712 96
702 649 79
882 59 -60
731 917 276
116 715 32
196 7 551
522 606 667
289 353 58
220 474 -493
248 53 -916
263 109 850
29 325 -240
715 911 832
890 699 -161
607 689 -590
82 556 505
329 496 -55
704 476 -63
811 224 465
800 344 -616
110 170 468
601 406 972
165 472 989
35 245 275
899 488 -427
914 714 -943
70 811 -996
288 46 -65
284 699 935
248 770 -980
621 293 573
907 809 -789
613 568 -690
250 903 654
589 138 785
446 40 -554
308 602 475
482 243 321
480 157 -693
510 604 -905
424 82 575
249 852 -372
704 342 -618
904 601 126
304 287 280
39 863 -890
345 540 -908
607 132 -632
743 54 -564
361 774 -279
213 675 646
862 605 975
621 348 842
851 276 -244
637 673 950
17 229 426
482 790 -590
709 10 -320
252 737 -669
381 879 276
462 397 -756
51 866 -530
294 163 405
213 706 -737
231 627 287
110 876 -70
493 651 -3
41 108 -813
34 457 410
932 230 400
409 747 863
227 417 795
330 129 221
788 379 135
245 740 997
63 768 -757
348 900 522
100 762 109
917 165 -316
680 134 105
369 508 -372
648 871 -809
721 469 789
14 1 -348
356 625 345
807 523 598
590 396 -44
540 672 -773
68 150 -362
103 601 -867
386 269 -690
288 52 -950
843 543 -511
896 125 -291
917 888 777
267 286 360
711 148 -428
3 331 458
819 134 222
361 166 -281
639 430 -740
829 843 -770
365 329 478
858 779 454
870 322 -953
892 599 -188
498 707 528
501 21 -313
235 77 169
533 878 -724
121 427 594
221 450 -855
763 578 -129
546 735 -743
636 194 -779
547 439 -502
284 104 411
473 640 -128
55 89 -659
354 88 -362
750 398 -847
54 609 -613
150 396 26
804 569 986
152 820 158
164 453 370
374 163 -577
782 284 -333
823 304 -128
607 336 317
931 712 -807
728 808 -672
675 270 661
599 764 969
587 178 589
515 564 -313
145 919 605
517 414 -340
375 884 -847
31 81 236
260 437 435
831 191 849
709 209 -317
444 525 418
537 142 -128
376 210 928
790 887 436
335 606 791
181 179 -472
415 20 745
371 882 920
479 413 666
739 139 580
120 331 -921
339 787 243
900 429 -833
593 256 -629
315 864 -777
903 666 944
374 724 195
507 151 646
33 726 -245
121 931 753
162 410 -487
564 634 540
927 30 165
483 899 -180
199 703 -246
891 254 -236
82 889 -604
587 615 410
722 696 -101
371 482 -137
60 466 337
615 766 -575
929 445 -419
177 529 470
204 83 917
734 215 646
908 440 732
820 636 409
915 256 468
568 604 988
156 760 429
770 358 690
431 796 -741
632 708 -867
420 869 -209
657 897 212
844 177 -453
355 627 -561
860 571 -941
506 287 875
115 387 -21
630 813 -345
627 34 -550
15 103 679
795 363 -228
535 403 -929
73 189 -108
340 12 -323
451 730 955
593 869 -75
300 410 545
839 880 -41
499 874 -796
177 258 708
164 896 -431
430 157 -742
328 343 -343
585 600 -468
16 372 987
617 856 -761
925 107 393
759 170 182
74 158 512
96 419 422
114 634 -420
882 322 831
783 234 705
857 72 -92
89 513 -131
485 581 -23
271 867 42
318 304 -808
116 716 -8
698 726 985
364 281 548
85 746 -382
154 738 -769
225 82 -703
276 520 -607
408 275 -419
77 862 29
427 778 113
461 852 354
510 889 -964
813 27 462
177 752 337
273 479 -975
778 54 450
567 413 -872
910 387 412
192 542 -742
70 571 -186
636 805 520
837 841 694
896 901 694
885 729 909
8 52 -707
700 846 84
866 280 -935
329 418 979
928 26 -789
506 205 706
300 169 674
581 768 301
31 906 108
930 360 -372
814 518 95
84 177 680
890 668 -781
667 544 686
668 541 868
818 274 338
536 578 -608
221 6 -494
812 204 -623
290 541 -243
549 919 -55
111 775 -7
588 468 163
612 727 245
242 189 -985
318 609 769
647 786 -24
397 902 -84
704 208 -516
51 266 506
716 94 -794
408 910 609
502 397 645
612 624 -807
801 871 820
489 789 -865
476 86 -181
409 910 -20
378 357 -683
857 567 29
697 528 718
178 795 846
591 537 -780
94 684 992
472 408 579
32 609 401
364 608 -53
788 926 -674
181 584 240
48 889 53
589 129 313
633 120 769
550 767 -200
245 59 980
79 692 465
399 77 -268
431 843 -121
759 120 224
336 888 514
478 835 530
377 249 -754
517 369 528
427 347 539
227 346 834
908 838 -961
376 471 -264
912 417 -260
293 12 -191
621 445 737
284 140 904
279 895 525
826 753 -969
608 680 994
238 42 695
779 772 770
222 435 470
859 55 -967
622 540 262
288 127 569
56 209 789
111 809 -766
304 788 -979
334 319 119
168 250 -501
391 497 671
707 234 121
572 873 638
547 773 -436
199 188 -723
828 817 601
809 688 272
792 101 -282
248 198 -757
310 234 570
19 463 -271
389 596 305
910 659 -755
79 433 -27
720 839 -562
460 363 744
209 661 883
396 773 -285
96 745 438
449 609 -348
282 690 -826
329 841 -309
155 536 -615
889 420 49
92 745 778
538 803 -30
219 121 815
22 100 715
581 470 788
269 655 -243
377 641 -858
784 176 971
856 365 -35
451 477 67
930 490 -40
573 451 -199
909 633 396
221 354 443
739 742 938
723 326 199
729 624 207
399 44 -356
405 411 56
600 465 320
698 411 571
168 361 -314
419 566 -214
370 708 -232
299 828 219
823 262 618
177 193 -126
51 25 -459
764 82 -748
804 293 -432
78 746 -279
516 887 -370
344 227 753
464 30 815
767 795 985
904 698 747
628 51 -634
715 290 -433
145 801 -107
927 895 504
585 701 -699
815 891 -74
432 412 -121
859 653 220
872 173 661
514 2 613
276 23 408
21 443 -844
426 62 557
365 729 -101
448 544 -604
264 242 -912
390 481 114
243 887 960
413 643 -263
3 742 -321
443 366 -24
220 443 -393
567 734 426
724 223 -775
28 236 -769
388 170 -32
380 365 -775
639 89 252
545 194 -259
368 302 -583
763 14 663
584 890 -424
374 511 156
542 57 577
104 81 -243
771 543 -60
423 351 161
650 14 921
340 188 -590
697 280 -37
445 710 615
841 322 -791
514 534 -217
270 399 -821
590 578 -159
4 2 138
886 8 -617
822 691 960
859 612 -1
187 742 -647
682 636 300
281 384 811
394 654 406
225 554 104
865 560 455
333 140 -602
654 524 806
341 803 25
769 708 -833
686 293 -338
474 642 181
562 522 407
453 676 176
204 439 490
183 859 -566
777 77 -621
411 608 -979
554 223 756
445 171 149
119 311 -191
176 870 -782
434 477 -411
242 367 357
93 667 223
394 444 -886
249 190 -51
783 817 584
874 391 -880
845 811 -316
811 830 -17
671 271 824
761 641 834
401 875 169
43 122 -288
252 61 96
256 58 -850
682 347 -486
249 680 -207
926 715 554
58 153 -755
628 858 860
112 920 -940
418 218 433
851 596 -658
218 302 -8
852 556 -353
581 279 -598
225 450 -134
532 726 913
760 704 -304
280 12 -891
22 546 948
675 727 -817
681 506 821
372 590 884
278 529 387
107 756 476
637 746 -299
19 84 517
7 131 -414
533 513 200
377 768 -346
586 25 725
110 928 129
794 4 -202
511 96 -152
511 460 203
245 708 249
622 723 -815
676 781 -635
134 770 558
415 860 408
121 239 748
433 470 -430
322 672 663
192 134 435
837 213 -471
372 432 328
411 428 438
368 162 505
868 146 -974
327 484 -419
711 893 620
72 160 -283
640 115 -126
907 167 402
64 405 -326
471 676 -36
395 668 537
822 712 -252
840 615 -665
468 121 401
303 70 -730
112 630 662
226 252 984
573 620 588
572 886 -516
909 9 -151
685 127 102
377 748 -824
333 843 -64
503 378 -207
743 387 -600
529 326 432
747 190 -89
37 778 38
422 348 442
119 792 772
77 71 286
470 922 -537
487 551 -370
852 823 344
759 341 -748
288 373 -966
589 271 653
163 491 640
215 563 653
112 210 919
193 868 123
401 649 -565
742 780 859
365 436 -287
779 587 597
596 555 -103
179 463 -664
778 830 795
757 728 621
211 588 -332
590 552 58
445 869 -684
188 458 -850
875 23 244
179 560 736
556 726 -51
359 88 328
432 745 -54
795 28 581
67 618 -913
