19
871 1731
88 2 801
785 817 469
70 592 354
656 112 965
482 45 421
459 831 340
35 569 7
236 556 83
855 350 143
307 493 451
612 15 268
457 114 173
660 544 418
362 822 80
385 208 534
23 12 794
724 209 299
545 594 117
623 515 842
22 49 835
264 431 371
127 305 312
380 471 744
352 158 732
653 754 262
774 606 418
630 379 365
400 522 698
676 758 536
207 258 801
5 87 686
134 796 671
422 19 525
823 766 219
750 605 169
264 850 875
859 165 141
315 620 167
707 29 783
232 655 381
479 389 562
203 758 126
368 763 869
576 799 640
496 443 185
583 457 202
79 144 347
861 428 334
747 656 512
173 563 578
739 621 94
396 369 592
159 840 399
806 381 489
516 535 421
598 332 129
191 634 946
816 29 654
135 80 852
71 698 508
83 726 574
633 645 186
99 479 4
8 26 969
493 534 671
36 261 37
428 87 396
472 118 829
146 756 388
719 537 191
675 109 455
604 848 485
518 383 956
361 717 637
866 738 757
612 566 749
415 159 612
395 276 745
757 352 140
147 550 807
582 402 922
552 193 60
522 834 749
537 68 847
201 301 787
558 748 142
805 149 305
105 565 521
67 321 364
395 344 730
479 82 308
503 85 953
325 104 194
637 723 168
780 287 805
736 505 472
861 13 186
766 763 72
646 194 363
223 482 65
535 246 655
230 233 525
45 652 763
659 838 40
490 224 653
405 58 104
285 168 255
844 339 873
303 664 642
429 638 268
158 544 896
678 194 506
8 295 835
129 694 368
749 523 688
217 178 194
240 193 280
831 495 325
686 431 643
447 523 255
619 218 82
283 777 124
589 224 417
138 171 234
737 102 744
14 757 490
698 552 830
844 705 40
605 778 6
350 802 502
825 772 549
346 765 256
225 246 202
377 294 192
814 787 601
37 545 48
425 20 122
211 746 697
607 36 529
63 542 862
592 519 380
198 89 394
616 737 15
780 12 851
63 432 398
351 801 875
139 557 668
829 488 736
793 586 260
330 267 995
842 70 192
459 665 344
320 243 934
161 147 56
795 292 999
645 239 877
482 334 983
588 155 63
768 348 613
326 168 542
71 417 559
623 678 800
172 112 17
858 235 189
613 864 778
604 700 338
619 41 255
248 458 407
615 693 171
346 718 484
666 518 813
56 156 562
682 580 180
123 274 928
229 748 520
865 109 202
390 333 29
423 510 576
638 21 632
329 830 335
112 375 934
686 9 529
639 702 547
623 531 908
531 756 551
200 28 544
680 800 994
740 60 309
273 71 532
480 387 268
139 229 486
843 690 897
769 591 545
454 156 724
175 149 935
320 318 515
134 668 608
302 564 435
729 762 453
367 528 691
637 496 388
548 249 586
100 751 475
94 546 488
504 419 838
176 398 174
211 596 349
648 453 276
642 311 659
508 296 14
44 82 963
666 159 843
242 395 544
365 44 523
709 542 732
50 673 858
780 747 301
580 231 667
661 792 286
444 228 866
197 787 464
275 399 289
705 212 765
442 201 614
853 523 857
357 554 597
273 714 145
336 768 42
124 795 564
13 508 629
601 822 865
474 701 810
859 717 918
286 57 661
658 261 830
374 79 791
151 728 972
157 616 137
408 415 184
515 260 265
817 156 662
430 497 455
546 450 28
637 486 187
461 131 643
127 389 60
373 368 514
664 721 265
213 456 361
623 596 5
8 281 569
791 344 380
725 697 486
78 693 560
329 7 491
451 246 640
620 842 669
187 786 887
761 579 671
746 41 553
671 690 333
801 679 108
376 213 821
104 737 866
523 794 455
349 168 576
862 239 133
211 156 219
403 335 344
610 411 335
691 801 424
614 441 433
459 548 467
602 99 455
699 829 1000
160 236 724
403 107 839
464 570 804
211 665 836
398 75 834
497 820 464
734 99 472
809 381 411
497 287 340
203 842 467
841 601 81
303 57 838
336 843 587
269 511 58
870 9 149
199 535 636
540 66 289
489 710 543
474 644 119
502 746 781
287 720 833
863 185 184
865 206 517
215 857 412
55 317 703
601 713 580
807 352 469
642 130 420
290 482 974
742 79 210
785 709 521
840 236 694
803 715 699
810 314 119
443 127 710
47 441 281
125 111 279
431 446 876
523 594 327
441 330 890
407 141 903
856 507 473
355 361 892
524 604 741
432 417 104
168 260 48
752 343 388
346 625 623
766 822 435
115 540 539
259 321 972
56 480 837
344 614 168
421 709 24
791 831 454
533 234 234
687 286 295
603 18 509
173 60 183
839 777 514
207 388 360
318 451 687
772 671 143
43 665 70
348 497 541
594 556 350
681 745 295
78 169 607
484 842 455
678 48 312
109 749 985
526 83 427
266 35 148
373 14 319
553 551 281
644 280 179
306 838 237
703 821 887
396 31 80
605 646 739
767 869 5
768 396 576
47 534 471
782 519 454
364 709 808
204 272 30
297 501 6
670 596 286
606 780 477
483 818 711
500 206 602
774 391 630
73 170 832
412 326 687
783 653 318
107 726 201
48 850 792
727 402 502
864 547 984
570 30 800
34 716 104
52 767 49
633 662 645
350 100 477
585 26 648
130 210 620
372 442 801
659 228 825
383 21 119
49 484 371
711 11 807
660 9 101
109 504 935
390 324 239
448 432 787
356 633 677
653 115 948
74 181 780
272 62 495
438 256 689
859 465 859
368 355 254
266 846 69
808 813 764
761 108 697
625 498 987
326 641 923
607 759 888
275 675 695
380 489 841
157 457 545
154 758 934
240 515 365
456 523 383
37 258 386
385 697 279
837 254 476
414 628 679
127 443 317
259 278 298
602 487 297
659 546 392
54 128 994
704 518 29
31 287 630
269 49 927
457 511 947
51 512 336
847 278 917
474 806 640
347 675 173
211 824 920
846 119 67
244 482 608
285 23 730
600 69 309
534 254 556
786 11 665
704 186 366
683 657 610
780 795 780
167 707 566
86 572 356
254 829 177
75 119 643
845 656 331
527 204 386
631 672 429
337 679 628
696 525 364
343 10 791
14 243 364
459 841 947
575 317 703
31 707 990
814 177 216
301 534 125
489 853 329
713 389 886
45 224 868
773 143 595
634 798 983
647 798 314
230 403 164
720 479 16
727 469 933
708 704 339
844 450 74
820 759 206
689 754 162
48 19 641
104 374 935
190 20 66
710 414 903
715 109 122
699 790 664
391 63 469
574 91 547
569 869 935
785 413 13
336 88 448
354 786 40
299 630 282
166 478 673
866 278 846
627 308 179
455 231 904
682 535 754
551 263 345
845 834 118
589 261 344
231 721 947
672 415 482
120 586 880
509 211 427
370 775 870
522 568 197
44 741 515
741 316 417
131 646 117
620 348 800
528 815 347
637 423 991
85 258 100
389 191 332
544 503 449
164 637 442
399 28 747
638 580 781
838 560 500
14 242 762
670 803 248
231 795 133
208 818 515
442 652 843
584 401 153
499 406 294
498 497 319
419 126 536
840 480 660
415 738 863
396 563 768
255 564 426
51 523 328
176 318 529
385 699 31
418 165 750
469 583 109
162 204 641
445 29 397
277 109 570
444 28 846
766 399 531
445 686 788
392 786 251
1 119 554
773 596 483
766 457 580
110 691 819
70 800 209
386 153 626
234 827 702
390 385 986
57 392 249
691 336 18
762 94 688
219 263 377
396 839 193
302 29 316
6 281 892
413 504 978
167 141 149
198 555 285
280 404 289
651 193 726
603 50 770
4 244 124
651 741 304
721 825 504
28 280 788
689 802 155
724 565 646
801 75 922
805 806 968
214 475 397
730 358 815
746 422 840
102 239 810
859 755 53
764 870 376
749 785 329
211 817 358
716 844 225
589 554 178
192 790 717
304 526 523
487 134 495
627 696 763
67 251 622
555 31 619
597 285 321
861 276 3
344 842 132
95 669 114
792 43 669
368 738 156
803 199 855
604 282 780
773 560 412
453 709 657
402 861 903
540 714 444
346 586 969
193 33 183
252 235 948
660 571 945
492 59 961
704 774 56
658 532 993
336 26 356
420 90 318
67 8 286
272 606 472
638 744 254
808 116 231
774 291 98
215 286 999
707 131 621
785 139 252
43 163 225
349 544 23
860 263 777
181 130 62
67 626 893
455 419 25
16 269 373
727 786 689
822 574 494
467 630 52
62 851 633
17 786 777
22 716 351
862 661 99
624 691 634
749 305 195
326 776 380
869 431 94
523 30 787
552 59 969
61 215 939
601 765 14
157 116 443
381 194 3
765 82 489
645 317 481
733 343 517
753 43 368
557 388 991
641 746 193
78 196 957
680 275 246
3 726 173
396 7 99
694 747 21
796 330 979
18 582 364
55 666 563
419 700 948
148 815 236
548 160 586
580 198 982
295 21 601
791 168 539
126 403 676
343 280 822
443 412 689
352 605 455
21 175 134
127 168 411
418 592 369
717 215 292
767 657 536
797 712 936
167 622 321
303 17 978
108 52 858
855 73 257
594 39 45
510 222 995
844 311 241
577 182 604
345 709 107
585 315 98
50 742 817
29 680 516
460 664 132
704 639 346
254 865 794
568 814 274
245 24 872
252 201 139
870 3 292
186 253 795
32 394 750
830 468 675
7 118 808
499 377 423
190 114 330
714 574 555
658 132 459
386 69 761
82 274 435
328 313 977
634 164 633
35 479 408
80 689 525
391 484 43
589 840 142
644 769 64
322 445 149
660 475 970
829 568 106
153 866 1
187 744 162
778 300 263
490 638 561
562 343 609
264 802 172
580 514 161
366 75 227
304 374 303
13 555 770
643 768 29
113 852 924
226 806 873
661 802 817
112 81 185
437 329 383
411 79 907
665 833 857
206 609 164
302 537 796
422 692 457
80 459 909
688 367 438
553 503 84
106 474 471
596 204 193
861 225 916
194 209 800
159 380 708
772 399 513
550 223 502
498 162 635
229 420 183
162 749 648
868 756 990
361 211 816
374 854 759
218 130 636
290 338 470
223 60 787
626 219 516
358 812 187
174 104 876
119 481 568
549 139 899
716 827 683
66 765 43
812 196 493
45 340 430
7 758 959
791 794 513
870 377 172
377 270 544
26 188 659
719 792 477
378 53 106
359 4 955
521 803 173
517 865 50
589 456 506
641 206 192
292 630 666
83 820 195
729 482 806
658 815 859
10 217 130
95 15 427
227 766 747
637 800 801
521 864 286
818 128 757
573 431 858
347 571 483
127 183 384
86 601 670
661 576 958
102 616 468
30 172 663
74 865 814
177 63 133
47 800 644
560 439 795
246 442 949
180 595 295
855 82 225
675 727 979
780 831 917
647 162 386
218 715 895
257 124 732
702 264 799
510 327 521
420 715 156
663 371 295
570 451 748
243 369 816
616 734 731
268 34 879
506 115 733
864 698 543
430 499 986
176 102 608
583 812 498
441 737 472
440 574 305
374 221 935
242 37 378
555 588 616
10 867 360
25 784 947
450 658 765
835 812 705
660 29 851
728 484 531
695 542 728
542 210 51
514 765 419
247 226 498
126 584 213
660 15 80
66 525 761
185 57 238
44 337 450
102 314 521
76 795 288
455 417 614
817 264 838
351 113 146
160 606 170
453 521 948
618 727 403
467 555 675
765 222 320
161 215 655
688 761 817
624 463 379
93 870 109
800 785 250
829 808 102
863 124 305
175 798 731
298 836 652
344 244 504
191 533 93
231 729 772
177 580 658
287 99 797
177 665 556
48 477 447
6 28 748
250 113 504
528 101 701
113 308 792
63 596 978
588 871 12
674 394 61
342 854 81
804 74 128
321 601 961
688 856 810
301 779 258
424 392 488
626 113 431
352 114 778
667 268 33
628 196 335
68 253 855
451 143 152
135 441 320
481 44 795
372 701 577
478 181 577
568 784 602
608 155 131
252 530 843
595 170 525
234 348 663
439 530 581
258 560 591
324 859 391
853 691 221
850 374 581
389 227 611
378 266 775
433 156 476
683 820 738
233 266 531
402 375 422
337 125 889
661 432 601
816 567 442
830 207 364
548 694 570
152 681 607
464 816 667
289 449 968
634 705 521
414 51 885
164 366 687
830 471 224
753 630 668
251 836 985
491 140 891
21 150 960
563 111 618
660 382 103
374 289 187
111 280 405
556 152 543
788 525 987
406 335 930
106 589 394
693 866 135
629 478 905
631 526 464
619 185 228
676 229 322
629 62 612
108 558 143
435 609 116
852 609 227
560 807 832
843 386 210
367 637 371
174 140 118
413 595 219
630 36 602
9 655 433
773 715 399
838 693 41
148 864 854
546 108 752
597 151 723
262 283 531
19 134 635
639 390 149
639 581 870
405 528 737
444 576 952
830 50 919
102 431 43
133 662 420
700 100 309
297 852 207
383 658 209
320 828 694
483 786 689
105 65 485
322 105 696
348 272 30
815 375 959
863 697 910
115 584 465
628 68 245
445 323 861
224 530 598
576 807 567
862 434 696
120 460 117
657 546 148
273 390 696
635 667 372
676 91 740
656 254 738
389 479 50
307 620 495
231 558 754
188 148 89
467 597 598
867 567 68
312 508 765
688 414 377
732 153 653
587 743 954
121 871 349
217 630 459
410 744 608
80 679 418
266 697 836
7 757 197
812 778 325
453 823 133
303 251 888
49 216 378
254 337 585
70 743 692
615 232 162
151 595 48
585 540 828
35 701 709
600 396 653
73 708 555
726 71 622
774 464 810
610 503 974
520 32 610
425 712 998
658 100 833
