842 2801
808 186 411
533 581 239
41 143 30
828 440 697
308 743 803
431 321 677
273 617 581
224 762 641
780 433 857
296 226 413
797 22 233
324 725 122
82 646 95
112 416 545
401 315 918
16 754 909
314 374 463
20 749 326
586 712 673
254 168 266
509 113 879
166 599 856
748 612 590
355 751 621
786 484 542
45 694 489
447 591 387
77 72 795
603 699 970
763 574 499
537 91 273
811 540 36
277 623 314
684 362 407
625 490 32
558 336 594
792 509 198
488 517 933
607 229 450
526 136 341
697 430 831
667 665 590
605 55 207
509 663 554
559 414 471
536 160 330
555 352 980
187 526 878
749 769 751
260 114 197
449 462 907
322 249 570
525 800 2
747 288 2
815 744 171
759 540 120
454 456 437
560 30 318
335 394 380
414 704 792
24 675 962
696 534 898
100 478 903
148 520 206
829 726 459
149 816 951
444 402 261
660 21 308
766 201 86
586 279 267
673 526 521
484 236 812
336 286 887
7 397 344
713 89 172
504 440 210
644 649 934
495 640 140
761 750 897
87 693 179
432 632 228
138 109 792
637 120 513
47 419 43
334 463 649
243 675 50
533 30 545
94 48 198
564 601 354
566 762 493
218 332 819
256 561 166
150 513 988
816 297 829
319 26 956
759 43 972
764 643 942
4 218 382
153 668 451
565 162 996
836 60 707
649 557 964
605 185 293
722 575 126
375 248 78
704 319 105
619 821 477
694 154 724
345 159 58
751 94 436
728 406 176
789 525 209
190 471 180
521 499 271
732 80 389
750 84 234
194 180 943
97 381 13
565 4 642
344 291 588
650 319 45
271 784 392
130 436 403
635 28 629
170 232 293
569 219 220
569 11 779
653 72 141
158 658 712
539 832 6
416 286 681
435 363 570
376 50 27
104 694 753
694 165 963
805 445 215
243 667 396
301 825 799
142 637 136
308 210 497
148 131 500
504 206 186
640 600 321
777 311 639
202 277 872
467 712 745
494 644 163
619 62 571
497 422 990
243 244 979
327 121 185
549 196 579
597 836 336
764 627 823
834 37 74
146 719 839
799 498 853
705 635 877
676 257 420
181 391 88
417 233 287
508 797 861
555 765 728
20 87 736
519 364 569
569 372 737
485 509 7
166 429 174
760 80 466
738 266 23
692 106 15
4 728 766
739 292 508
321 346 795
268 556 953
456 466 563
652 363 229
602 459 102
711 359 129
257 140 821
612 718 420
76 820 116
750 179 742
159 664 791
574 817 203
356 157 269
390 200 391
465 756 947
457 200 960
605 822 38
336 492 95
16 655 359
478 704 601
241 518 852
634 811 681
99 465 150
837 721 607
434 314 500
413 264 570
543 241 922
446 585 956
704 641 145
456 461 748
72 465 543
140 434 384
205 754 478
621 461 579
445 576 686
823 205 182
335 561 217
352 589 805
733 3 886
151 99 311
399 173 823
831 256 837
282 395 839
663 266 861
511 691 535
692 192 202
351 73 684
394 484 578
299 432 898
760 813 252
112 543 77
341 94 744
547 202 324
678 792 720
220 403 982
683 395 42
803 196 275
392 92 430
524 308 59
192 457 961
788 667 710
385 271 801
68 204 464
120 386 852
621 21 385
88 84 392
785 764 724
576 146 567
603 360 83
69 516 371
753 454 47
118 173 781
517 221 304
216 463 286
792 59 4
684 802 665
22 367 114
515 419 899
102 60 869
411 752 271
75 523 851
324 85 727
140 555 835
599 12 556
812 10 644
506 471 459
672 356 46
393 804 42
270 838 770
383 518 693
367 333 953
508 488 327
658 402 582
89 207 207
546 240 303
299 279 305
46 565 624
146 470 627
182 86 825
672 733 284
819 533 126
198 109 626
706 424 978
321 242 381
782 524 263
236 378 723
542 45 691
417 591 922
229 715 779
189 796 524
355 389 343
265 257 637
323 52 702
197 238 771
824 48 303
587 54 250
400 459 746
363 97 451
413 81 319
200 503 438
464 160 432
784 211 404
315 234 762
122 387 379
334 232 388
654 123 47
440 827 660
417 107 934
766 17 996
773 447 677
672 233 776
46 292 154
605 656 1000
108 366 181
712 531 633
378 150 541
193 205 613
449 184 855
616 225 876
223 718 592
274 497 111
674 837 850
686 468 37
63 130 528
95 254 723
230 63 739
667 75 958
449 262 375
546 313 255
172 246 596
699 499 133
783 32 23
225 790 342
841 559 355
568 393 259
637 393 315
750 473 52
399 79 517
108 536 953
818 448 597
752 166 834
701 482 296
710 808 330
546 745 980
649 588 466
763 677 270
76 441 215
281 125 28
178 495 141
810 54 436
105 516 113
593 756 315
479 224 631
806 584 473
781 608 129
632 197 882
391 426 498
565 133 410
422 829 373
120 580 681
420 358 85
640 742 702
3 690 607
9 735 127
763 802 231
649 363 174
520 771 309
122 741 995
78 375 933
94 352 138
348 164 341
411 523 616
526 112 337
1 354 269
422 607 951
643 130 234
641 7 104
203 633 441
769 779 751
529 665 127
25 513 436
318 613 666
365 293 710
792 21 601
757 41 67
538 803 440
555 98 437
524 772 593
314 750 794
391 471 203
461 224 601
731 366 418
349 323 327
499 164 978
502 564 368
802 553 532
778 50 255
794 720 915
532 561 813
149 485 830
413 638 934
543 468 909
602 165 422
546 228 27
551 796 485
262 51 706
782 775 101
301 791 383
411 833 788
617 12 728
396 243 292
162 607 119
665 260 988
598 813 471
159 522 552
283 79 264
224 26 458
785 720 984
463 64 362
489 486 81
112 394 525
335 536 612
346 591 487
19 298 748
817 355 188
446 590 526
89 22 686
789 788 26
114 653 950
295 5 183
129 24 673
570 368 788
128 588 59
468 490 482
389 372 860
253 500 576
656 605 588
439 681 359
238 525 686
547 246 104
216 207 310
632 248 547
271 719 25
260 511 717
545 317 683
310 555 812
146 618 656
517 590 745
630 795 966
149 565 778
338 530 770
517 143 882
396 411 830
110 317 611
345 597 862
576 815 511
130 432 739
489 209 112
339 508 298
371 459 316
61 674 564
29 678 71
18 657 716
481 434 872
294 547 51
786 203 706
323 301 435
138 308 549
720 573 214
300 219 550
827 123 296
627 306 332
224 362 532
177 763 115
641 152 305
415 611 746
498 239 345
257 69 346
644 576 982
588 443 602
632 525 742
207 795 508
148 100 688
747 94 502
314 399 438
272 378 84
50 463 51
517 534 634
616 370 816
52 34 525
173 438 129
90 433 342
372 324 593
211 552 308
318 88 506
770 302 597
42 160 180
658 52 890
557 327 778
225 219 36
681 670 597
380 223 85
825 127 974
412 182 66
489 591 553
55 182 872
237 117 201
494 556 67
182 789 31
565 89 27
45 141 812
361 595 925
260 722 21
218 226 22
390 515 788
382 206 644
604 588 923
431 441 64
752 376 813
582 727 63
462 763 274
184 473 224
552 541 615
46 38 833
615 281 666
70 795 592
3 156 779
826 225 860
502 565 879
237 695 632
141 443 824
327 369 377
513 132 939
550 24 605
828 727 476
584 813 244
75 451 387
245 287 872
69 349 956
535 316 248
492 543 788
227 317 355
594 391 291
102 655 995
841 651 630
499 97 294
589 139 813
486 672 296
617 255 870
586 645 231
185 89 11
36 600 857
205 164 794
602 705 369
396 780 389
289 438 762
43 142 982
52 514 177
220 485 157
426 697 418
38 289 352
339 767 915
43 441 836
703 789 397
545 667 815
184 355 525
82 613 577
519 588 989
283 439 205
582 787 34
578 47 478
435 241 85
78 498 967
398 24 390
149 576 227
43 404 919
666 363 638
29 731 797
255 571 510
751 474 756
770 806 339
719 259 244
795 236 108
575 555 20
449 813 576
724 506 576
300 617 576
72 294 428
394 729 908
1 456 508
791 129 487
354 272 71
237 689 581
155 303 990
82 471 410
428 148 309
129 804 153
364 21 102
591 726 142
174 394 959
737 133 473
693 178 56
153 648 777
537 239 817
635 799 443
85 614 424
722 671 452
520 97 683
331 87 495
143 599 820
698 141 160
144 766 412
536 260 115
60 707 297
708 300 553
341 834 712
801 311 481
725 530 11
228 746 979
188 444 394
473 730 466
414 177 703
277 713 345
310 11 587
827 625 693
565 720 903
226 46 329
73 414 563
601 323 850
471 834 874
712 336 314
534 418 176
182 79 266
299 79 863
182 254 843
484 169 161
747 228 94
716 332 337
276 503 393
72 490 673
110 428 393
709 707 563
138 387 3
695 522 819
34 673 235
68 8 754
183 185 530
77 167 719
530 717 948
446 433 2
169 629 334
827 165 937
675 108 876
719 59 58
662 196 129
629 721 708
655 50 839
645 567 471
198 268 696
16 89 891
363 111 252
175 650 363
244 771 621
797 672 247
588 661 825
285 697 285
121 767 223
800 752 677
611 371 808
709 342 467
685 782 288
697 178 717
839 466 894
241 452 601
37 219 605
43 756 1000
454 106 152
607 666 495
11 85 767
695 246 428
545 197 989
126 813 335
81 588 160
92 567 990
753 478 502
391 56 720
748 151 458
36 330 731
138 262 373
749 449 909
18 4 648
385 126 567
755 241 409
499 768 672
784 333 616
808 702 11
37 468 265
679 824 148
784 647 754
513 689 738
500 587 376
375 216 364
242 808 960
474 609 974
260 216 311
208 63 379
569 192 310
638 820 727
379 543 665
804 268 934
83 478 598
786 17 262
453 745 921
566 390 444
138 213 670
28 339 994
390 734 770
574 641 464
555 654 401
176 222 315
732 92 26
599 359 389
587 705 265
228 663 326
458 805 411
556 421 696
289 398 531
561 376 785
256 527 76
248 651 780
649 806 100
49 11 323
464 131 544
708 302 424
252 815 143
543 592 246
171 411 328
130 735 21
543 409 120
14 589 328
20 826 969
391 38 695
171 48 906
135 341 459
91 560 994
593 165 555
278 101 99
389 298 280
544 760 26
30 632 896
734 675 240
737 65 165
375 814 382
357 115 105
445 372 572
482 157 138
692 72 566
210 447 884
562 670 180
435 486 892
272 752 759
281 460 127
725 121 555
320 141 310
785 725 152
276 148 691
520 779 775
311 86 266
280 8 132
562 106 379
404 743 651
425 309 219
604 375 870
730 326 725
397 627 874
352 105 367
695 560 858
318 835 868
627 434 953
364 366 915
457 507 512
77 362 129
286 698 757
299 556 276
43 314 39
565 40 861
341 78 393
530 94 89
607 630 229
418 170 551
811 736 105
504 584 209
641 644 625
412 386 9
680 436 630
533 750 319
174 193 2
783 444 429
333 551 671
68 280 210
205 537 738
220 800 520
622 812 315
261 22 395
11 620 473
722 358 274
364 155 515
701 193 113
724 129 14
842 474 403
295 507 746
358 424 346
526 433 939
596 564 488
325 19 669
718 707 885
395 816 100
363 708 227
625 645 84
687 609 20
321 538 52
200 72 340
228 551 424
224 354 65
479 781 104
653 716 191
482 39 461
413 680 346
206 298 30
572 108 7
673 259 586
676 56 178
255 792 719
636 81 935
614 67 682
131 124 731
453 643 523
57 308 843
262 270 233
142 440 972
193 682 90
518 646 429
360 401 525
187 217 845
180 322 50
229 595 191
169 453 788
799 62 946
541 794 603
793 407 327
624 754 412
265 841 117
308 763 927
273 668 663
204 411 750
480 436 607
768 533 405
287 26 555
643 376 169
794 369 409
316 286 936
401 420 270
96 483 621
615 614 708
706 827 503
622 635 34
526 35 310
797 131 706
548 281 34
542 107 701
300 405 827
612 562 527
38 475 705
139 325 67
323 467 405
335 68 65
7 513 673
3 210 573
429 149 543
220 512 880
640 578 553
703 421 179
564 842 172
629 523 196
483 7 179
203 306 641
388 702 752
126 569 733
451 649 763
138 71 623
124 623 527
385 213 121
202 590 868
625 735 361
708 54 281
25 770 591
730 372 328
226 156 506
699 3 749
764 121 503
25 215 489
304 229 682
567 339 25
765 168 6
573 794 977
539 412 904
787 540 766
113 321 766
334 725 256
777 10 906
17 412 102
480 355 349
460 647 191
166 461 714
624 758 972
801 106 275
652 638 991
149 203 842
310 557 439
595 832 479
