815 2578
313 205 324
670 743 730
718 433 929
305 119 973
481 245 319
403 550 97
393 517 448
488 57 985
294 59 881
289 194 960
574 714 572
807 446 134
672 698 529
407 246 927
365 79 604
731 785 342
520 8 772
587 334 382
439 346 683
300 149 554
18 175 489
84 176 710
614 381 362
318 87 693
380 550 955
494 446 882
520 288 431
346 137 4
179 163 359
44 401 465
566 643 817
56 163 28
54 425 183
157 705 609
193 254 121
65 112 638
665 231 106
202 557 468
173 499 511
351 618 21
672 473 530
701 402 165
489 733 938
737 662 258
257 467 282
465 723 701
323 665 246
689 791 451
89 358 305
531 2 418
129 119 309
401 65 821
287 226 55
280 313 151
538 243 146
613 159 531
768 434 338
537 385 547
220 315 721
77 644 36
295 103 181
542 210 732
110 264 376
197 645 537
633 430 147
360 763 39
17 159 714
150 237 38
468 75 505
133 650 616
73 651 309
156 225 764
510 350 871
219 223 579
80 375 3
489 786 804
531 309 982
488 597 791
709 686 919
544 7 968
243 501 81
591 510 366
683 737 557
68 552 426
187 505 496
661 507 429
563 526 764
490 754 554
651 156 819
727 401 360
79 517 565
644 63 953
624 267 833
510 251 508
777 299 110
655 340 192
440 11 991
440 476 375
96 599 925
101 711 661
646 55 300
726 503 228
539 255 193
432 67 192
49 96 957
359 51 248
475 81 443
154 670 530
675 627 403
456 626 776
810 775 816
168 488 512
534 643 532
389 627 423
474 699 918
17 604 350
634 86 128
149 543 425
486 459 389
333 485 980
628 24 233
688 339 349
363 222 547
279 23 211
185 716 483
743 389 622
401 280 83
66 309 620
481 208 247
199 588 176
410 134 574
187 799 486
446 594 770
479 300 460
424 476 448
559 316 506
255 75 4
542 717 864
214 450 683
771 343 402
318 717 976
52 661 629
288 269 302
537 236 193
413 293 559
626 252 380
532 772 840
96 501 706
256 200 650
334 89 619
787 158 296
38 434 675
342 182 658
56 204 581
241 605 623
262 705 571
561 99 879
217 77 207
225 471 101
464 703 567
51 331 973
815 186 5
13 349 118
190 434 798
213 123 788
677 332 561
573 53 955
478 792 846
322 562 472
288 615 244
127 282 479
297 151 942
690 158 287
141 7 811
372 512 713
259 25 255
26 97 233
798 571 728
58 639 223
403 204 665
55 644 996
722 221 80
273 389 432
213 139 764
374 327 162
594 161 219
192 315 161
795 164 388
300 135 736
532 429 824
781 679 277
639 96 956
220 64 303
271 179 110
311 712 822
189 783 285
392 1 909
618 253 749
279 569 809
484 422 608
3 672 930
643 319 13
341 546 947
150 421 875
471 740 20
654 335 856
295 389 149
373 426 668
579 122 27
777 761 448
709 778 82
45 285 804
299 733 976
195 17 647
204 174 382
717 723 319
260 603 478
233 95 853
371 125 895
790 774 90
646 655 540
540 542 796
581 597 691
449 509 84
479 451 787
587 815 673
282 551 757
787 735 926
302 164 95
130 193 131
171 410 641
771 585 213
90 437 188
720 370 373
155 601 389
75 703 234
353 246 353
753 48 151
98 810 712
309 202 942
102 792 301
144 366 196
773 157 353
658 383 927
585 13 633
449 644 187
741 115 817
467 68 925
686 351 397
526 65 535
459 688 729
744 751 132
621 745 202
88 281 16
449 301 961
619 93 73
152 702 566
80 47 264
305 60 648
745 246 228
265 772 641
146 755 112
474 20 891
47 85 142
548 748 847
462 700 562
445 453 430
297 172 995
97 396 385
470 62 48
342 282 720
214 482 810
530 754 645
677 233 120
669 53 256
682 348 753
95 47 571
235 270 399
701 342 104
565 412 326
546 485 995
263 733 29
457 359 553
163 218 53
537 56 300
650 153 917
746 122 249
581 811 763
61 639 568
739 691 285
516 358 941
62 682 196
187 717 936
251 67 217
161 431 292
69 807 944
799 336 434
135 387 765
545 697 902
786 166 219
617 710 712
585 648 432
275 290 484
463 685 695
620 493 900
545 613 156
569 224 426
217 108 504
116 517 845
707 213 778
51 501 652
53 619 518
72 167 593
168 435 476
144 567 475
400 367 254
317 693 354
71 194 240
529 325 686
796 208 314
523 61 80
262 626 595
46 51 923
592 182 445
149 381 862
580 528 573
345 342 357
49 315 402
513 181 238
616 366 700
753 763 815
212 115 674
72 361 385
74 630 975
507 701 966
83 497 830
263 147 933
462 684 434
423 20 453
65 386 14
201 537 922
605 395 27
682 103 557
514 471 666
753 760 869
74 197 958
332 605 182
812 326 823
604 795 938
109 397 450
797 688 927
544 331 223
349 737 249
204 786 943
595 542 942
750 769 334
349 223 878
513 285 623
82 397 594
629 102 23
