16
861 941
582 844 -729
503 756 -79
655 270 5
380 159 -66
564 651 413
767 822 -312
413 78 -767
271 368 603
382 417 -369
270 714 670
558 716 432
419 168 -678
286 161 -747
42 647 197
714 849 -923
294 373 564
570 670 -346
643 601 -49
782 497 164
586 88 448
5 347 281
100 678 -872
43 797 436
589 130 882
10 576 208
675 118 378
34 329 809
713 227 77
173 124 -389
547 92 107
730 836 607
116 685 -316
808 313 -590
332 843 -473
851 109 675
576 422 -709
264 145 297
50 160 842
174 124 659
763 19 -182
543 396 281
605 799 -41
540 836 -482
269 415 -817
473 323 -831
383 611 -988
682 176 392
604 244 748
95 229 509
153 55 -764
34 52 -649
555 391 769
853 739 735
297 110 -130
726 175 -346
760 163 389
711 200 545
419 46 498
543 635 732
89 241 729
466 378 508
1 225 593
814 635 764
582 848 -324
36 248 -135
833 108 -460
76 10 -550
848 412 -449
630 442 749
138 488 55
613 822 -895
73 467 418
468 156 120
218 635 -351
696 134 273
844 255 -951
248 609 377
35 542 -464
109 222 -308
345 334 666
500 8 -638
59 657 -674
474 569 -26
662 854 -639
415 373 633
335 360 -47
333 480 452
211 556 541
567 595 -75
185 772 793
396 592 879
487 671 -550
103 407 -965
534 150 294
788 458 -856
154 78 635
383 202 -769
268 365 502
788 616 288
160 424 -419
835 773 -957
146 463 -946
102 533 -30
42 590 -634
390 551 -591
302 637 -667
739 159 -513
768 233 823
34 376 -837
708 200 135
506 532 98
164 532 789
431 809 -924
684 385 726
576 212 -661
117 704 -255
261 43 961
58 625 3
614 156 -935
88 698 -176
636 16 721
299 600 11
672 761 928
188 691 523
779 426 616
593 566 545
789 667 690
10 114 927
600 192 181
703 769 -910
823 587 -579
302 754 892
153 755 265
538 647 -268
623 223 -645
402 260 -1
265 442 -202
153 170 844
413 492 361
45 847 -547
306 9 730
150 330 355
106 809 477
77 596 332
201 800 783
423 38 -50
626 442 -444
725 605 461
5 477 549
502 596 -57
50 104 -261
110 539 -560
391 206 927
76 735 907
346 598 618
272 755 918
348 153 -372
523 579 -490
704 700 -388
784 131 387
104 174 -307
860 45 882
722 701 451
184 565 441
639 670 974
172 453 835
523 846 933
358 174 -141
314 455 69
427 130 -30
72 335 -989
683 62 434
525 170 735
32 561 831
252 267 120
52 463 -514
264 595 -786
243 762 569
800 641 -58
260 9 -765
778 856 475
563 837 -793
384 293 517
449 77 5
413 133 231
546 656 -40
549 360 482
283 767 -346
375 529 -915
374 148 -755
237 209 -450
56 408 590
841 488 394
218 65 -959
420 686 893
759 332 44
440 567 983
381 272 374
47 438 -302
601 4 -789
554 606 -110
487 404 666
221 7 103
409 84 59
69 51 -275
505 108 290
149 64 -476
109 86 -421
647 333 -192
633 32 598
829 1 454
686 767 -325
861 11 -453
299 182 608
718 435 -716
82 764 168
790 827 311
603 658 -171
228 706 -31
86 504 988
636 777 334
649 560 5
177 746 -466
