8143 26683
2304 5176 -365
4874 1968 566
261 1045 728
1745 5829 -600
3116 1292 816
70 7987 294
5354 6335 340
4520 3906 531
1862 6353 91
7483 2253 693
4223 3928 -447
4764 6636 -513
1915 704 354
3086 6321 660
3930 1687 333
4293 7935 271
260 1144 -528
5218 117 -280
3580 3751 285
3808 253 -486
5161 7442 362
3950 6181 -147
5971 7384 744
1700 7397 -911
1410 4266 850
3333 4437 151
1432 1533 465
5296 2697 803
7327 757 -697
7340 6106 -72
562 577 -690
3648 2403 105
5444 3448 -797
2120 4899 -428
4380 4031 -881
4719 2611 129
2429 5519 -35
3598 2119 -940
2533 2318 -513
2376 1923 -70
6088 8099 36
2327 3762 -453
444 1318 646
2981 633 -886
3936 3101 -824
1645 2386 301
11 5145 368
4192 1178 -219
4181 5386 629
2459 2942 -514
1852 4882 -854
4995 5101 254
1465 7026 850
3066 2961 -113
5293 3926 662
4860 177 -993
462 4098 -448
5876 6526 527
4383 4611 -207
7825 3233 -5
453 6203 117
4133 4978 -472
2033 2963 -8
1067 483 -146
4810 6371 -646
3327 6558 783
6374 5206 472
3358 1986 -192
6034 5829 498
5407 3710 -971
5664 5446 896
2223 2529 -813
4865 2864 342
5246 3763 549
4157 4526 -932
5616 700 873
55 4407 -74
6309 4488 -935
3480 7412 -115
321 7915 380
6258 6450 -495
3000 7494 -844
2421 5458 730
1038 6939 477
946 1989 -580
3819 1024 997
6648 4329 -196
5742 1857 626
2877 2204 797
667 2005 93
4910 3246 27
2006 345 8
7182 3805 -319
646 6294 517
7593 3990 151
234 6373 -694
3479 1358 -883
1488 419 -786
2551 666 -158
4032 1074 474
6658 1378 724
5629 5914 -518
7482 7995 118
3700 2653 990
3227 5146 -875
4308 3973 -101
494 1908 -729
4123 6608 -623
6817 1749 -867
1493 6622 -298
1147 4247 206
2677 1066 -765
2520 1961 664
3320 1109 -541
3219 4891 -825
6260 1190 -945
7760 7844 -919
1296 4589 748
7345 4944 151
7657 5026 -494
7707 5199 -836
165 1545 -925
905 6962 730
4366 2021 -402
353 3319 -901
4395 5097 -826
6660 6279 591
6151 7472 469
4319 6393 -838
7679 596 -27
7345 5222 -906
3641 1329 887
60 223 -243
3645 2972 543
7540 155 826
1740 4437 -991
6664 276 877
2635 3459 -714
618 8071 539
7430 3392 684
383 4380 -92
2194 7528 -189
416 608 -93
5151 1600 465
3360 7620 874
1604 4577 -398
6412 35 -452
5547 7837 -589
5345 971 833
3515 5345 82
3671 5917 34
1573 1105 -469
1295 6680 143
4819 2352 -536
1155 6102 219
7463 5450 125
6688 1543 -887
6983 7713 -507
7697 7979 769
6339 710 -378
2616 558 344
6013 6576 232
3912 4697 784
3186 6111 836
520 7687 -403
584 6444 873
7316 1660 153
191 4167 -12
3262 7397 645
6850 5252 -497
5374 2639 -93
2039 3085 667
2077 6232 -296
3076 159 992
7189 2901 -859
505 3012 -329
6228 7102 975
6004 4695 462
2952 5791 841
4999 6118 395
329 7953 261
4640 3467 -441
2191 5166 259
2544 473 622
3046 7097 -193
892 2996 649
2990 7993 -558
3278 1971 989
4827 4314 -114
3869 1774 -205
1369 5891 21
4873 3031 220
4831 3368 497
1355 532 -579
6340 3503 609
6784 4435 -952
3141 2487 -687
1221 5700 -114
1285 7500 536
4606 6308 513
2627 1301 966
366 1486 875
7628 7113 264
6323 2492 -866
1394 4388 -544
5469 2864 -914
3535 89 444
3194 900 146
8029 452 -147
4845 2491 -419
4795 4378 377
2423 5706 -963
3721 5193 43
7510 7638 551
3189 6037 -165
4923 18 967
4499 3904 898
5923 4809 263
2467 3832 975
2366 4991 -800
7208 6725 172
6591 6356 -817
2304 1758 -137
2074 4899 -973
8076 7019 -957
6086 5103 -242
5968 7799 -213
7827 2657 190
377 3716 205
4612 5366 953
6227 34 -871
937 994 940
4329 5970 394
2895 3557 574
3749 6831 984
2293 349 612
8140 6944 -520
3559 1205 873
5282 6489 -904
6798 2315 909
